,ScorePerSentence
0,20.5949
1,42.2665
2,48.7363
3,22.1513
4,24.5361
5,13.5958
6,31.1317
7,38.3494
8,54.6471
9,42.7164
10,28.1146
11,31.3517
12,41.9794
13,58.1493
14,49.8023
15,44.073
16,36.2241
17,33.5671
18,17.0044
19,39.4187
20,16.0646
21,6.7426
22,27.042
23,19.9122
24,65.1819
25,36.5162
26,22.1829
27,7.5817
28,27.9765
29,30.584
30,50.5827
31,44.1131
32,27.3269
33,32.0171
34,6.883
35,27.3162
36,24.5811
37,24.8805
38,23.3338
39,38.8441
40,35.0928
41,35.881
42,19.7306
43,68.8807
44,54.7557
45,53.6113
46,47.8647
47,33.8237
48,20.6974
49,38.2844
50,6.4352
51,30.6748
52,72.6444
53,16.0096
54,19.8639
55,4.0272
56,26.2025
57,36.2421
58,16.6261
59,38.7583
60,2.863
61,7.9223
62,28.9779
63,5.653
64,3.6735
65,14.5768
66,33.9497
67,28.2252
68,51.0723
69,14.9011
70,16.6382
71,36.104
72,38.8372
73,16.2918
74,7.5316
75,15.6422
76,49.8835
77,32.3858
78,16.6207
79,15.6197
80,16.3412
81,41.1134
82,9.8647
83,36.1704
84,28.9178
85,12.1426
86,24.8734
87,8.5166
88,8.9138
89,38.8841
90,53.7285
91,23.3569
92,11.6333
93,47.3128
94,19.3577
95,5.6042
96,26.3559
97,62.3806
98,41.4202
99,22.961
100,24.6109
101,25.8069
102,48.7694
103,26.8178
104,66.776
105,49.0963
106,18.5988
107,33.0053
108,48.9372
109,10.8656
110,36.7551
111,42.0542
112,32.1598
113,42.6622
114,100.0
115,4.9324
116,38.0362
117,43.2135
118,26.666
119,27.1081
120,20.925
121,35.8642
122,35.7032
123,31.3345
124,22.4758
125,28.8099
126,44.285
127,32.366
128,64.5833
129,54.8824
130,39.4076
131,28.359
132,38.504
133,21.0996
134,45.8109
135,100.0
136,49.0094
137,59.7597
138,48.5834
139,30.0866
140,37.8699
141,33.0316
142,44.8561
143,38.5032
144,44.6232
145,50.5093
146,34.5096
147,100.0
148,47.8058
149,10.4482
150,44.0404
151,31.3924
152,53.6893
153,7.4956
154,27.4825
155,30.5878
156,54.6268
157,17.9463
158,24.8027
159,62.7122
160,30.3002
161,100.0
162,84.9233
163,28.3204
164,26.2191
165,7.3625
166,24.6421
167,53.6644
168,38.6035
169,13.4851
170,14.0607
171,55.9351
172,39.5213
173,48.2563
174,6.9015
175,17.2134
176,45.4537
177,47.9237
178,17.3551
179,47.1798
180,15.0892
181,26.9188
182,23.4663
183,55.1384
184,36.7889
185,33.7947
186,62.722
187,10.334
188,32.5992
189,14.1335
190,58.7846
191,55.4237
192,41.5154
193,28.5249
194,54.5628
195,46.8591
196,16.9467
197,47.6449
198,19.2231
199,44.1312
200,43.2338
201,18.5415
202,100.0
203,38.8104
204,19.7785
205,43.0161
206,60.3182
207,34.8958
208,33.7996
209,35.9356
210,25.4225
211,32.3576
212,26.6584
213,44.3108
214,44.6481
215,34.2613
216,73.7328
217,25.7738
218,61.1928
219,49.271
220,17.6961
221,84.8294
222,40.6207
223,66.0786
224,57.6306
225,49.7607
226,69.6471
227,35.8034
228,23.5783
229,12.1921
230,40.4103
231,45.0221
232,17.8275
233,67.0731
234,66.0216
235,41.6844
236,48.6085
237,7.0652
238,80.3155
239,17.0466
240,15.2636
241,30.191
242,48.754
243,18.5847
244,46.5076
245,26.4022
246,23.3976
247,25.8487
248,7.9369
249,6.3052
250,41.4232
251,36.6824
252,12.2122
253,38.8199
254,9.5014
255,35.1872
256,10.5081
257,65.432
258,26.2691
259,36.9686
260,29.7844
261,59.3991
262,24.6014
263,44.6847
264,19.494
265,28.6173
266,19.6407
267,8.3141
268,13.3409
269,11.3396
270,8.0086
271,5.6698
272,26.2691
273,27.3088
274,9.4612
275,14.1
276,8.1167
277,16.1956
278,26.7512
279,8.7749
280,37.0373
281,8.5927
282,16.5386
283,11.3396
284,36.4714
285,66.1771
286,27.2057
287,12.5612
288,60.0838
289,6.1779
290,22.5575
291,31.6759
292,14.0435
293,21.2496
294,11.3541
295,55.397
296,62.7498
297,13.9472
298,48.2028
299,17.6328
300,45.48
301,47.0989
302,57.8357
303,8.7096
304,35.3471
305,74.3992
306,44.307
307,59.3991
308,17.8551
309,22.2282
310,55.926
311,22.6037
312,53.0913
313,30.251
314,33.9933
315,67.9289
316,55.7402
317,41.3675
318,10.5803
319,59.9708
320,12.6856
321,41.0865
322,53.99
323,28.0345
324,13.3802
325,2.4426
326,45.7883
327,74.8705
328,47.629
329,17.5422
330,56.079
331,38.5552
332,100.0
333,43.8553
334,67.3562
335,24.0749
336,64.4765
337,22.3523
338,35.5767
339,54.5247
340,71.3449
341,100.0
342,18.1904
343,76.5955
344,57.4489
345,28.9779
346,20.5221
347,66.4415
348,50.0909
349,43.6191
350,7.76
351,38.52
352,61.4788
353,30.2411
354,82.8248
355,12.8098
356,26.6473
357,9.0014
358,18.843
359,22.7001
360,76.1161
361,74.8705
362,57.9558
363,3.4586
364,78.1395
365,48.0415
366,30.0392
367,39.8435
368,48.0442
369,23.3814
